"","storm_levels","storm_locs"
"1","TS","FL"
"2","4","FL"
"3","2","FL"
"4","1","ATL"
"5","3","FL"
"6","3","FL"
"7","TS","GULF"
"8","TS","FL"
"9","1","GULF"
"10","3","FL"
"11","1","FL"
"12","3","GULF"
"13","3","GULF"
"14","TS","FL"
"15","1","FL"
"16","TS","FL"
"17","TS","ATL"
"18","1","FL"
"19","TS","FL"
"20","TS","GULF"
"21","TS","ATL"
"22","1","GULF"
"23","1","GULF"
"24","TS","GULF"
"25","TS","FL"
"26","2","GULF"
"27","TS","ATL"
"28","2","GULF"
"29","TS","FL"
"30","TS","GULF"
"31","1","ATL"
"32","TS","GULF"
"33","TS","FL"
"34","TS","FL"
"35","1","GULF"
"36","1","ATL"
"37","TS","FL"
"38","2","ATL"
"39","TS","ATL"
"40","TS","GULF"
"41","TS","FL"
"42","1","FL"
"43","1","ATL"
"44","TS","GULF"
"45","4","GULF"
"46","4","FL"
"47","1","GULF"
